publicidad,precio,ventas
100,15.50,120
150,14.00,145
200,16.00,165
250,15.00,210
300,13.50,250
350,17.00,240
400,14.50,310
450,16.50,325
500,13.00,380
550,15.50,395
120,15.00,130
180,14.20,160
220,16.50,175
270,14.80,225
320,13.00,265
370,17.50,250
420,14.00,325
470,16.00,340
520,13.50,395
570,15.00,410
110,15.80,125
160,14.10,150
210,16.20,170
260,14.90,215
310,13.20,260
360,17.20,245
410,14.30,315
460,16.30,330
510,13.10,385
560,15.30,400
130,14.90,140
190,14.50,168
230,16.10,182
280,15.10,230
330,13.80,270
380,16.80,260
430,14.20,332
480,15.90,352
530,13.40,402
580,15.20,418
140,14.70,148
170,14.30,155
240,16.40,188
290,15.20,238
340,13.70,278
390,16.90,268
440,14.40,338
490,15.80,358
540,13.30,408
590,15.10,425
