id,titulo,accion,comedia,drama,scifi,terror,romance,rating,es_serie
1,Ecos del océano: Parte II,0,1,1,0,0,1,7.2,1
2,Luz del paraíso caótico,1,1,0,1,0,1,9.3,1
3,El juicio de la noche: Parte I,1,0,1,0,1,1,7.9,0
4,El destino de la noche perdido,0,1,0,0,0,0,4.0,1
5,Luz del desierto olvidado,0,1,1,0,1,0,7.2,1
6,El despertar olvidado,0,0,0,0,0,0,4.9,1
7,El misterio del olvido imposible,0,1,1,0,1,0,4.9,0
8,La leyenda de la corona: Parte II,0,1,0,0,0,0,7.3,1
9,El precio de la venganza,0,0,0,0,0,1,5.6,1
10,Lágrimas del infierno oculto,0,1,0,0,0,0,8.2,1
11,Las voces del paraíso inmortal,0,1,0,1,1,1,9.2,0
12,Cazadores del tiempo,0,1,1,0,1,0,9.7,0
13,El código del mañana: Parte I,0,0,0,0,1,1,6.9,0
14,La leyenda del pasado silencioso,0,1,0,0,1,0,7.4,1
15,El secreto prohibido,1,1,0,0,0,0,6.3,1
16,El juicio oscuro,0,0,1,0,0,0,3.3,1
17,El secreto del océano: Parte II,0,0,0,0,0,1,8.5,0
18,Ángeles del imperio: Parte I,0,1,1,0,0,1,8.7,0
19,La leyenda de la corona inmortal,1,1,0,0,0,0,3.3,1
20,El imperio del dragón,1,0,0,0,0,0,9.1,1
21,Cazadores del mañana: Parte II,0,1,1,0,0,0,9.2,0
22,El último siniestro,0,1,0,0,0,0,6.1,1
23,El regreso de la selva inmortal,0,0,1,0,0,0,8.6,1
24,La búsqueda fantasma,0,1,1,0,0,1,5.6,1
25,Crónicas salvaje,0,0,0,0,0,0,7.4,1
26,El precio de la libertad: Parte IV,0,1,1,0,0,0,9.4,1
27,El imperio de la noche sagrado,1,1,0,0,0,0,3.9,1
28,Pacto vengador,1,1,0,1,0,0,5.5,0
29,Ecos del dragón vengador,1,0,1,0,0,0,3.8,0
30,Ángeles del paraíso: Parte II,1,0,1,1,1,1,4.6,1
31,Lágrimas de un extraño invisible,0,1,0,0,0,0,9.3,1
32,Frontera de cristal: Parte II,0,1,1,0,1,0,9.3,1
33,Operación de la verdad,0,0,1,0,0,0,4.6,1
34,Las voces del océano: Parte I,1,0,0,0,1,0,4.1,0
35,Luz del imperio oscuro,0,0,0,0,0,1,4.8,1
36,La leyenda del mañana,1,1,0,0,0,1,5.9,1
37,El despertar perdido,0,1,0,0,0,0,5.0,0
38,El precio de la noche ancestral,1,1,0,1,0,0,7.1,1
39,Luz del infierno: Parte IV,0,0,0,0,1,0,7.7,0
40,Cazadores del océano secreto,0,1,1,1,0,1,6.1,1
41,La rebelión de la verdad supremo,1,1,1,0,0,0,5.2,0
42,El misterio del mañana ancestral,1,1,0,0,1,0,5.9,0
